03. 17:31:48, batch 212,  convothello.ckpt wr: 0.56, nvothello/drill_184.ckpt wr: 0.41
03. 17:32:58, batch 213,  convothello.ckpt wr: 0.45, nvothello/drill_136.ckpt wr: 0.52
03. 17:34:06, batch 214,  convothello.ckpt wr: 0.45, nvothello/drill_94.ckpt wr: 0.52
03. 17:35:14, batch 215,  convothello.ckpt wr: 0.52, nvothello/drill_10.ckpt wr: 0.43
03. 17:36:24, batch 216,  convothello.ckpt wr: 0.52, nvothello/drill_119.ckpt wr: 0.46
03. 17:37:31, batch 217,  convothello.ckpt wr: 0.45, nvothello/drill_142.ckpt wr: 0.52
03. 17:38:42, batch 218,  convothello.ckpt wr: 0.53, nvothello/drill_163.ckpt wr: 0.44
03. 17:39:49, batch 219,  convothello.ckpt wr: 0.46, nvothello/drill_191.ckpt wr: 0.52
03. 17:40:57, batch 220,  convothello.ckpt wr: 0.54, nvothello/drill_72.ckpt wr: 0.44
03. 17:42:04, batch 221,  convothello.ckpt wr: 0.47, nvothello/drill_127.ckpt wr: 0.51
03. 17:43:13, batch 222,  convothello.ckpt wr: 0.43, nvothello/drill_140.ckpt wr: 0.53
03. 17:44:23, batch 223,  convothello.ckpt wr: 0.52, nvothello/drill_116.ckpt wr: 0.41
03. 17:45:31, batch 224,  convothello.ckpt wr: 0.45, nvothello/drill_43.ckpt wr: 0.50
03. 17:46:43, batch 225,  convothello.ckpt wr: 0.48, nvothello/drill_94.ckpt wr: 0.45
03. 17:47:51, batch 226,  convothello.ckpt wr: 0.59, nvothello/drill_22.ckpt wr: 0.40
03. 17:49:00, batch 227,  convothello.ckpt wr: 0.52, nvothello/drill_101.ckpt wr: 0.43
03. 17:50:09, batch 228,  convothello.ckpt wr: 0.51, nvothello/drill_79.ckpt wr: 0.47
03. 17:51:19, batch 229,  convothello.ckpt wr: 0.54, nvothello/drill_52.ckpt wr: 0.45
03. 17:52:25, batch 230,  convothello.ckpt wr: 0.63, nvothello/drill_3.ckpt wr: 0.32
03. 17:53:36, batch 231,  convothello.ckpt wr: 0.51, nvothello/drill_153.ckpt wr: 0.48
03. 17:54:46, batch 232,  convothello.ckpt wr: 0.49, nvothello/drill_197.ckpt wr: 0.48
03. 17:55:57, batch 233,  convothello.ckpt wr: 0.45, nvothello/drill_89.ckpt wr: 0.52
03. 17:57:05, batch 234,  convothello.ckpt wr: 0.59, nvothello/drill_128.ckpt wr: 0.39
03. 17:58:18, batch 235,  convothello.ckpt wr: 0.53, nvothello/drill_218.ckpt wr: 0.45
03. 17:59:28, batch 236,  convothello.ckpt wr: 0.58, nvothello/drill_17.ckpt wr: 0.40
03. 18:00:37, batch 237,  convothello.ckpt wr: 0.55, nvothello/drill_36.ckpt wr: 0.44
03. 18:01:52, batch 238,  convothello.ckpt wr: 0.52, nvothello/drill_151.ckpt wr: 0.45
03. 18:02:59, batch 239,  convothello.ckpt wr: 0.53, nvothello/drill_226.ckpt wr: 0.45
03. 18:04:09, batch 240,  convothello.ckpt wr: 0.57, nvothello/drill_35.ckpt wr: 0.40
03. 18:05:19, batch 241,  convothello.ckpt wr: 0.54, nvothello/drill_113.ckpt wr: 0.44
03. 18:06:31, batch 242,  convothello.ckpt wr: 0.49, nvothello/drill_46.ckpt wr: 0.48
03. 18:07:38, batch 243,  convothello.ckpt wr: 0.52, nvothello/drill_233.ckpt wr: 0.44
03. 18:08:48, batch 244,  convothello.ckpt wr: 0.57, nvothello/drill_122.ckpt wr: 0.42
03. 18:09:57, batch 245,  convothello.ckpt wr: 0.56, nvothello/drill_125.ckpt wr: 0.41
03. 18:11:06, batch 246,  convothello.ckpt wr: 0.51, nvothello/drill_85.ckpt wr: 0.45
03. 18:12:18, batch 247,  convothello.ckpt wr: 0.43, nvothello/drill_33.ckpt wr: 0.53
03. 18:13:27, batch 248,  convothello.ckpt wr: 0.50, nvothello/drill_71.ckpt wr: 0.45
03. 18:14:36, batch 249,  convothello.ckpt wr: 0.54, nvothello/drill_223.ckpt wr: 0.45
03. 18:15:46, batch 250,  convothello.ckpt wr: 0.44, nvothello/drill_128.ckpt wr: 0.52
03. 18:16:57, batch 251,  convothello.ckpt wr: 0.62, nvothello/drill_18.ckpt wr: 0.34
03. 18:18:08, batch 252,  convothello.ckpt wr: 0.58, nvothello/drill_47.ckpt wr: 0.41
03. 18:19:19, batch 253,  convothello.ckpt wr: 0.49, nvothello/drill_101.ckpt wr: 0.48
03. 18:20:33, batch 254,  convothello.ckpt wr: 0.51, nvothello/drill_171.ckpt wr: 0.47
03. 18:21:41, batch 255,  convothello.ckpt wr: 0.49, nvothello/drill_226.ckpt wr: 0.49
03. 18:22:51, batch 256,  convothello.ckpt wr: 0.52, nvothello/drill_195.ckpt wr: 0.45
03. 18:24:00, batch 257,  convothello.ckpt wr: 0.46, nvothello/drill_56.ckpt wr: 0.50
03. 18:25:14, batch 258,  convothello.ckpt wr: 0.55, nvothello/drill_233.ckpt wr: 0.42
03. 18:26:29, batch 259,  convothello.ckpt wr: 0.46, nvothello/drill_139.ckpt wr: 0.52
03. 18:27:39, batch 260,  convothello.ckpt wr: 0.46, nvothello/drill_221.ckpt wr: 0.50
03. 18:28:45, batch 261,  convothello.ckpt wr: 0.49, nvothello/drill_176.ckpt wr: 0.48
03. 18:29:53, batch 262,  convothello.ckpt wr: 0.49, nvothello/drill_104.ckpt wr: 0.47
03. 18:31:03, batch 263,  convothello.ckpt wr: 0.52, nvothello/drill_225.ckpt wr: 0.45
03. 18:32:13, batch 264,  convothello.ckpt wr: 0.55, nvothello/drill_171.ckpt wr: 0.42
