01. Mar 12:45:32, Step 12000: 0.580859375 1.83042900559
01. Mar 12:49:34, Step 24000: 0.582682291667 1.82569847882
01. Mar 12:53:30, Step 36000: 0.577473958333 1.83046831744
01. Mar 12:57:35, Step 48000: 0.575520833333 1.84423179289
01. Mar 13:01:37, Step 60000: 0.576822916667 1.82373657545
01. Mar 13:05:30, Step 72000: 0.581380208333 1.82175800588
01. Mar 13:09:31, Step 84000: 0.579427083333 1.82586501352
01. Mar 13:13:57, Step 96000: 0.570182291667 1.83310551964
01. Mar 13:18:21, Step 108000: 0.57890625 1.85003010092
01. Mar 13:21:55, Step 0: 0.579427083333 1.82895411123
01. Mar 13:22:58, Step 20: 0.579036458333 1.82887446974
01. Mar 13:27:30, Step 12000: 0.582421875 1.82730263158
01. Mar 13:31:45, Step 24000: 0.580989583333 1.82641881453
